"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,51405,"Chula Vista","CA","San Diego","San Diego",84,466600,0.00712281459097777,0.0232456140350877,0.0768520655435034,0.0888948765035376,-0.0181510934873604,"2006-05","2006-Q2",560400,-0.167380442541042,"2004-07"
2016-05-31,44564,"Chesapeake","VA","Virginia Beach","Chesapeake City",85,240100,-0.00538525269262635,-0.0135579293344289,0.00418235048097031,0.00524607866026061,-0.0101917886753085,"2006-09","2006-Q3",269100,-0.10776662950576,"2005-08"
2016-05-31,25104,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",86,194700,0.0109034267912773,0.0268987341772152,0.124783362218371,0.102184654722746,-0.0274176420034636,"2007-03","2007-Q1",274600,-0.290968681718864,"2005-04"
2016-05-31,398849,"Madison","WI","Madison","Dane",87,214900,0.00279981334577695,0.0117702448210923,0.0707523667164923,0.027654264255593,0.00635927071396636,"2016-05","2016-Q2",214900,0,"2016-05"
2016-05-31,24741,"Fontana","CA","Riverside","San Bernardino",88,334700,0.00752558699578567,0.025114854517611,0.0888093689004554,0.110591249702794,-0.0230955826969709,"2006-06","2006-Q2",423400,-0.209494567784601,"2005-03"
2016-05-31,31614,"Fort Myers","FL","Fort Myers","Lee",89,188300,0.00426666666666667,0.0118216012896292,0.0960419091967404,0.0910398322932611,-0.0377236450919877,"2006-04","2006-Q2",277600,-0.321685878962536,"2005-01"
2016-05-31,25428,"Knoxville","TN","Knoxville","Knox",90,116600,-0.00511945392491468,-0.012701100762066,0.00690846286701209,0.006648591375775,0.00593538626567902,"2014-06","2014-Q2",128700,-0.094017094017094,"2013-03"
2016-05-31,52893,"Laredo","TX","Laredo","Webb",91,118300,0.00938566552901024,0.0269097222222222,0.0609865470852018,0.0433128618955565,0.0142416246629269,"2016-05","2016-Q2",118300,0,"2016-05"
2016-05-31,26187,"North Las Vegas","NV","Las Vegas","Clark",92,181800,0.00386526780784097,0.0150753768844221,0.074468085106383,0.121653677167773,-0.0456896212742576,"2006-04","2006-Q2",290400,-0.37396694214876,"2004-02"
2016-05-31,5573,"Lawrenceville","GA","Atlanta","Gwinnett",93,171100,0.00293083235638921,0.0172413793103448,0.0700437773608505,0.0710414152878913,-0.00293284404572935,"2007-01","2007-Q1",178700,-0.04252937884723,"2005-09"
2016-05-31,11540,"Fremont","CA","San Francisco","Alameda",94,902300,0.0016651865008881,0.0101880877742947,0.126326301335663,0.124108972798471,0.0303528880496533,"2016-05","2016-Q2",902300,0,"2016-05"
2016-05-31,52001,"Fayetteville","NC","Fayetteville","Cumberland",95,109300,-0.000914076782449726,0.00644567219152855,-0.0153153153153153,-0.0236581826454699,0.00703507619214805,"2011-09","2011-Q3",125300,-0.127693535514765,"2007-08"
2016-05-31,7222,"Springfield","MO","Springfield","Greene",96,116100,0.00519480519480519,0.015748031496063,0.0497287522603978,0.0145692440496563,0.00253277436085475,"2009-05","2009-Q2",120300,-0.0349127182044888,"2008-10"
2016-05-31,30258,"Arlington","VA","Washington","Arlington",97,623300,-0.00160179400929041,0.00467440361057382,0.0169685103605808,0.0380247821718647,0.0115460837023424,"2016-04","2016-Q2",624300,-0.00160179400929041,"2016-03"
2016-05-31,12065,"Irving","TX","Dallas-Fort Worth","Dallas",98,160200,0.00691389063482087,0.0249520153550864,0.173626373626374,0.0691036660169717,0.0182469325328607,"2016-05","2016-Q2",160200,0,"2016-05"
2016-05-31,4888,"Gilbert","AZ","Phoenix","Maricopa",99,282800,0.00177116542685087,0.00604766986837424,0.0552238805970149,0.0943214794894498,-0.0174980235717574,"2006-03","2006-Q1",339700,-0.16750073594348,"2005-06"
